n,cvar,qcvar,var,qvar,tvar,qtvar
53,74212.0,2535.0,67650.0,1333.0,2835.0,3547.0
53,68391.0,2325.0,67650.0,1313.0,2876.0,3597.0
53,68401.0,2515.0,67510.0,1313.0,2905.0,3416.0
53,86246.0,2776.0,67560.0,1303.0,2725.0,3477.0
53,68612.0,2465.0,67680.0,1302.0,2996.0,3477.0
53,68341.0,2474.0,67560.0,1323.0,2756.0,3226.0
53,68782.0,2695.0,67620.0,1332.0,3086.0,3476.0
54,70936.0,4268.0,70015.0,2865.0,2926.0,5280.0
54,90695.0,3887.0,70286.0,2855.0,2705.0,3707.0
54,71317.0,2465.0,69724.0,1353.0,2976.0,5100.0
54,68231.0,4138.0,70145.0,2875.0,2806.0,5430.0
54,71267.0,3978.0,70155.0,2865.0,2716.0,3617.0
54,68762.0,2615.0,70415.0,1342.0,2895.0,5009.0
54,70857.0,4148.0,70595.0,2856.0,2906.0,5130.0
54,88881.0,4409.0,70295.0,2865.0,2605.0,3837.0
54,70686.0,2846.0,70505.0,1362.0,3186.0,5240.0
54,70936.0,4218.0,69904.0,2845.0,3166.0,5290.0
55,70866.0,2635.0,68852.0,1373.0,2876.0,3627.0
55,71107.0,2525.0,70215.0,1363.0,2795.0,3908.0
55,91946.0,2525.0,70155.0,1343.0,2956.0,3607.0
55,71237.0,2585.0,70615.0,1362.0,3266.0,3767.0
55,71177.0,2504.0,70506.0,1353.0,2866.0,3957.0
55,70886.0,2444.0,70766.0,1353.0,3166.0,3557.0
55,71337.0,2655.0,70495.0,1353.0,3036.0,3597.0
